,IdJuego,platforms
645,34030,windows;mac
646,34190,windows
647,34410,windows
648,34420,windows
649,34500,windows
650,34600,windows
651,34630,windows
652,34640,windows
653,34800,windows
654,34810,windows
655,34820,windows
656,34830,windows
657,34870,windows
658,34900,windows
659,34920,windows
660,35000,windows
661,35070,windows
662,35130,windows
663,35140,windows;mac
664,35300,windows
665,35310,windows
666,35320,windows
667,35450,windows
668,35460,windows
669,35480,windows;mac;linux
670,35600,windows
671,35700,windows;mac;linux
672,35720,windows;mac;linux
673,35800,windows;mac
674,36000,windows;mac
675,36100,windows
676,36130,windows
677,36180,windows
678,36210,windows
679,36240,windows
680,36300,windows
681,36310,windows
682,36320,windows
683,36900,windows
684,36910,windows
685,37000,windows
686,37010,windows
687,37030,windows
688,37100,windows;mac
689,37210,windows;mac
690,37220,windows;mac
691,37230,windows;mac
692,37240,windows;mac
693,37260,windows
694,37270,windows;mac
695,37280,windows;mac
696,37300,windows;mac
697,37310,windows;mac
698,37320,windows;mac
699,37330,windows;mac
700,37340,windows;mac
701,37370,windows;mac
702,37380,windows;mac
703,37390,windows;mac
704,37400,windows
705,37500,windows
706,37600,windows;mac
707,37700,windows
708,37800,windows;mac
709,37960,windows
710,38000,windows
711,38070,windows
712,38080,windows
713,38090,windows
714,38100,windows
715,38110,windows
716,38120,windows
717,38130,windows
718,38140,windows
719,38150,windows
720,38160,windows
721,38170,windows
722,38180,windows
723,38190,windows
724,38210,windows
725,38230,windows
726,38400,windows
727,38410,windows
728,38420,windows
729,38430,windows
730,38450,windows
731,38460,windows
732,38490,windows
733,38600,windows;mac
734,38700,windows;mac;linux
735,38720,windows;mac;linux
736,38740,windows;mac;linux
737,39000,windows
738,39110,windows
739,39120,windows
740,39140,windows
741,39150,windows
742,39190,windows
743,39200,windows
744,39210,windows
745,39500,windows
746,39510,windows
747,39520,windows
748,39540,windows
749,39560,windows
750,39630,windows
751,39640,windows
752,39650,windows
753,39660,windows
754,39670,windows
755,39680,windows
756,39690,windows
757,39800,windows;mac;linux
758,39900,windows
759,40100,windows
760,40200,windows
761,40210,windows
762,40300,windows
763,40320,windows
764,40330,windows
765,40340,windows
766,40350,windows
767,40380,windows
768,40390,windows
769,40400,windows;mac;linux
770,40420,windows;mac;linux
771,40500,windows
772,40700,windows;mac
773,40720,windows
774,40930,windows
775,40950,windows
776,40970,windows
777,40980,windows
778,40990,windows
779,41000,windows
780,41070,windows;mac;linux
781,41100,windows;mac;linux
782,41300,windows;mac;linux
783,41400,windows
784,41500,windows;mac
785,41600,windows
786,41660,windows
787,41680,windows
788,41700,windows
789,41740,windows
790,41800,windows;mac;linux
791,41900,windows;mac;linux
792,42000,windows
793,42120,windows
794,42140,windows
795,42170,windows;mac
796,42210,windows;mac
797,42220,windows;mac
798,42230,windows;mac
799,42500,windows
800,42670,windows
801,42700,windows
802,42810,windows
803,42850,windows
804,42890,windows
805,42910,windows
806,42920,windows
807,42930,windows
808,42940,windows
809,42950,windows
810,42960,windows
811,42980,windows
812,42990,windows
813,43000,windows
814,43100,windows
815,43190,windows
816,43500,windows
817,43600,windows
818,44100,windows
819,44350,windows
820,44360,windows
821,44600,windows
822,44680,windows
823,44690,windows
824,45000,windows
825,45100,windows;mac;linux
826,45300,windows
827,45400,windows;mac
828,45410,windows
829,45420,windows;mac
830,45450,windows;mac;linux
831,45700,windows
832,45710,windows
833,45720,windows
834,45730,windows
835,45740,windows
836,45750,windows
837,45760,windows
838,45770,windows
839,46000,windows;mac
840,46200,windows
841,46250,windows
842,46260,windows
843,46270,windows
844,46280,windows
845,46290,windows
846,46340,windows
847,46350,windows
848,46360,windows
849,46370,windows
850,46380,windows
851,46400,windows
852,46410,windows
853,46440,windows
854,46450,windows
855,46480,windows
856,46490,windows
857,46500,windows;mac
858,46510,windows;mac
859,46520,windows
860,46540,windows
861,46550,windows
862,46570,windows
863,46600,windows
864,46700,windows
865,46710,windows
866,46720,windows
867,46730,windows
868,46740,windows
869,46750,windows
870,46760,windows
871,46770,windows;mac;linux
872,46790,windows
873,46830,windows
874,46840,windows
875,46850,windows
876,47110,windows
877,47120,windows
878,47130,windows
879,47400,windows;mac;linux
880,47410,windows
881,47700,windows
882,47730,windows
883,47780,windows
884,47790,windows
885,47800,windows
886,47810,windows
887,47870,windows
888,47890,windows
889,47920,windows
890,48000,windows;mac;linux
