,IdJuego,categories
169,6810,Single-player;Multi-player;Co-op
170,6830,Single-player;Multi-player;Co-op
171,6840,Single-player;Multi-player;Co-op
172,6850,Single-player
173,6860,Single-player
174,6870,Single-player
175,6880,Single-player
176,6900,Single-player
177,6910,Single-player;Multi-player
178,6920,Single-player
179,6980,Single-player
180,7000,Single-player;Partial Controller Support
181,7010,Single-player;Multi-player
182,7020,Single-player;Multi-player;Co-op
183,7110,Single-player;Partial Controller Support
184,7200,Single-player;Multi-player;Includes level editor
185,7210,Single-player
186,7220,Single-player
187,7260,Single-player;Multi-player
188,7340,Single-player
189,7510,Single-player;Steam Trading Cards;Partial Controller Support
190,7520,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud
191,7530,Single-player;Steam Trading Cards;Steam Cloud
192,7600,Single-player;Multi-player
193,7610,Single-player;Multi-player
194,7620,Single-player
195,7650,Single-player
196,7660,Single-player
197,7730,Single-player;Multi-player
198,7760,Single-player
199,7770,Single-player;Multi-player
200,7830,Single-player;Multi-player;Steam Cloud;Includes level editor
201,7840,Single-player;Steam Cloud
202,7860,Single-player;Multi-player;Steam Cloud
203,7940,Single-player;Multi-player
204,8000,Single-player;Partial Controller Support
205,8080,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support
206,8100,Single-player
207,8140,Single-player
208,8170,Single-player;Multi-player;Partial Controller Support
209,8190,Single-player;Steam Achievements;Full controller support;Steam Cloud
210,8310,Single-player
211,8320,Single-player
212,8330,Single-player
213,8340,Single-player
214,8400,Single-player;Full controller support
215,8500,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards
216,8600,Single-player;Multi-player
217,8790,Single-player;Multi-player
218,8800,Single-player
219,8870,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud
220,8880,Single-player;Multi-player
221,8890,Single-player;Multi-player
222,8930,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud
223,8970,Single-player;Steam Achievements
224,9000,Single-player;Steam Cloud
225,9010,Single-player;Multi-player;Steam Cloud
226,9030,Single-player;Multi-player;Steam Cloud
227,9040,Single-player;Multi-player;Steam Cloud
228,9050,Single-player;Multi-player;Steam Cloud
229,9060,Single-player;Multi-player;Co-op;Steam Cloud
230,9160,Single-player;Steam Cloud
231,9180,Single-player;Steam Cloud
