,IdJuego,steamspy_tags
269,11040,Adventure;Detective;Point & Click
270,11050,Adventure;Point & Click;Vampire
271,11130,Adventure;Point & Click;Detective
272,11140,Adventure;Point & Click;Lovecraftian
273,11150,Adventure;Point & Click;Detective
274,11190,Adventure;Point & Click;Detective
275,11200,Action;Sci-fi;Isometric
276,11230,Indie;Casual;Racing
277,11240,Action;Space;FPS
278,11250,Strategy;Simulation;World War II
279,11260,Simulation;Strategy;World War II
280,11280,Action;Casual;Indie
281,11330,Puzzle;Casual;Indie
282,11340,Action;Indie;Top-Down
283,11360,Indie;Puzzle;Physics
284,11450,RPG;Villain Protagonist;Third Person
285,11480,Strategy;World War II;RTS
286,11560,Strategy;RTS
287,11590,Simulation;Management;Singleplayer
288,12100,Open World;Action;Classic
289,12110,Open World;Action;1980s
290,12120,Open World;Action;Multiplayer
291,12130,Gore;Violent;Stealth
292,12140,Noir;Action;Classic
293,12150,Noir;Action;Third-Person Shooter
294,12170,Action;Classic;Open World
295,12180,Action;Classic;Open World
296,12200,Open World;Action;Adventure
297,12210,Open World;Action;Bowling
298,12220,Open World;Action;Multiplayer
299,12310,Adventure;RPG;Sci-fi
300,12320,RPG;Action;Hack and Slash
301,12330,Action;Space;Sci-fi
302,12340,Adventure;Point & Click;Comedy
303,12360,Racing;Destruction;Multiplayer
304,12390,Action;FPS;Shooter
305,12420,Strategy;RTS
306,12430,Casual;Pinball
307,12440,Adventure;Point & Click;Comedy
308,12450,Adventure;Point & Click
309,12460,Strategy;RTS
310,12470,Strategy;Trading;Pirates
311,12480,Strategy;RTS;Military
312,12500,Puzzle;Match 3;Casual
313,12510,Strategy;Simulation
314,12520,Simulation;Racing;Driving
315,12530,Action;Strategy;Adventure
316,12540,Casual;Puzzle
317,12560,Simulation;Management
318,12590,Racing
319,12600,Racing
320,12640,RPG;Fantasy;Party-Based RPG
321,12670,Simulation;Casual
322,12710,RPG;Action;Villain Protagonist
323,12770,RPG;Action;Adventure
324,12790,Action;Adventure;Steampunk
325,12810,RPG;Villain Protagonist;Fantasy
326,12830,Action;FPS;Tactical
327,13000,Indie;Casual;Ninja
328,13140,Action;Free to Play;FPS
329,13200,Action;FPS;Sci-fi
330,13210,FPS;Action;Multiplayer
331,13230,FPS;Arena Shooter;Action
332,13240,Classic;FPS;Action
333,13250,Classic;FPS;Action
334,13500,Action;Adventure;Parkour
335,13520,FPS;Action;Classic
336,13530,Action;Adventure;Platformer
337,13540,Action;FPS;Tactical
338,13560,Stealth;Action;Third Person
339,13570,Stealth;Action;Third Person
340,13580,Stealth;Action;Third Person
341,13600,Action;Adventure;Parkour
342,13620,Action;FPS;Tactical
343,15000,Action;FPS;Tactical
344,15080,Adventure;Action;Psychological Horror
345,15100,Action;Adventure;Open World
346,15120,Action;Tactical;FPS
347,15130,Adventure;Female Protagonist;Action
348,15160,Simulation;Horses;Family Friendly
349,15170,Strategy;Turn-Based Strategy;Fantasy
350,15190,Action;FPS;World War II
351,15200,Simulation;Submarine;World War II
352,15210,Simulation;Naval;World War II
353,15240,Simulation;Submarine;World War II
354,15270,Horror;Action;Survival Horror
355,15300,Tactical;FPS;Action
356,15320,Simulation;Flight;World War II
357,15370,Strategy;Turn-Based Strategy;Turn-Based
358,15380,Strategy;Turn-Based Strategy;Turn-Based
359,15390,Action;World War II;FPS
360,15400,Strategy;Indie;Tower Defense
361,15500,Indie;Casual;Action
362,15520,Action;Indie;First-Person
363,15560,Indie;Action;First-Person
364,15620,Strategy;Warhammer 40K;RTS
365,15700,Adventure;Platformer;Classic
366,15710,Adventure;Platformer;2D
367,15740,Adventure;Action;Strategy
368,15750,Adventure;Action;Singleplayer
369,15800,Indie;Casual
370,15900,Casual;Puzzle;Match 3
371,15910,Casual
372,15920,Casual
373,15930,Casual;Match 3;Puzzle
374,15960,Casual;Agriculture;Puzzle
375,15970,Casual;Match 3
376,16000,Casual;Hidden Object
377,16020,Casual;Hidden Object;Adventure
378,16030,Casual;Match 3;Puzzle
379,16040,Casual;Puzzle;Match 3
380,16060,Casual;Hidden Object;Adventure
381,16100,Casual;Simulation
382,16110,Casual;Simulation
383,16120,Casual;Simulation;Management
384,16130,Casual;Simulation;Management
385,16180,Casual;Simulation
386,16200,Simulation;Casual
387,16450,Horror;FPS;Action
388,16500,Indie;Casual;Puzzle
389,16600,Racing;Indie;Sports
390,16620,Racing;Indie;Sports
391,16710,Adventure;Action;Female Protagonist
392,16720,Stealth;Action;Female Protagonist
393,16730,Action;FPS;Shooter
394,16810,Strategy;Turn-Based;Turn-Based Strategy
395,16900,Early Access;Indie;Tactical
396,17080,Free to Play;FPS;Action
397,17100,City Builder;Historical;Management
398,17120,City Builder;Simulation;Management
399,17140,Strategy;RPG;Fantasy
400,17180,Strategy;Historical
401,17300,FPS;Action;Sci-fi
402,17330,Action;FPS;Sci-fi
403,17390,Simulation;Sandbox;Open World
404,17410,Parkour;First-Person;Action
405,17430,Racing;Open World;Multiplayer
406,17440,Simulation;Adventure;Open World
407,17450,RPG;Fantasy;Story Rich
408,17460,RPG;Sci-fi;Story Rich
409,17470,Horror;Action;Sci-fi
410,17480,Strategy;RTS;Base-Building
411,17500,Free to Play;Zombies;Multiplayer
412,17570,Free to Play;Multiplayer;Action
413,17710,Strategy;FPS;Action
414,17740,Free to Play;Strategy;Action
415,18000,RPG;Adventure;Comedy
416,18020,RPG;Adventure;Comedy
417,18040,RPG;Action;Indie
418,18050,Action;RPG;Indie
419,18070,RPG;Action;Adventure
420,18120,Tower Defense;Strategy;Indie
421,18300,Casual;Indie;Puzzle
422,18400,Casual;Strategy;Puzzle
423,18420,Casual;Strategy;Puzzle
424,18470,Strategy;Western
425,18480,Adventure;Point & Click;Female Protagonist
426,18500,Tower Defense;Strategy;Sci-fi
427,18600,Indie;Strategy
428,18700,Platformer;Indie;Puzzle
429,18820,Racing;Indie;Action
430,19000,Horror;Adventure;Survival Horror
431,19020,RPG;Casual;Puzzle
432,19030,Action;Adventure;Platformer
433,19080,Action;Adventure;Casual
434,19200,Action;Indie;Tanks
435,19320,Action;Casual;Indie
436,19500,Indie;Adventure;Platformer
437,19800,Action;FPS;World War II
438,19830,Tactical;FPS;Action
439,19900,Open World;FPS;Action
440,19980,Action;Adventure;Platformer
441,20200,Indie;Casual;Sports
442,20510,Open World;Atmospheric;Post-apocalyptic
443,20530,Action;FPS;Sci-fi
444,20540,Strategy;RTS;World War II
445,20550,Action;FPS;Strategy
446,20570,Strategy;Warhammer 40K;RTS
447,20700,Action;Indie;Strategy
448,20710,Indie;Strategy;Action
449,20820,Great Soundtrack;Indie;Arcade
450,20900,RPG;Fantasy;Story Rich
451,20920,RPG;Fantasy;Mature
452,21000,LEGO;Action;Adventure
453,21010,Action;Superhero;Beat 'em up
