,nombre,categoria,direccion_completa,barrio,comuna
722,DON BUSTOS,RESTAURANTE,MEXICO 518,Monserrat,Comuna 1
723,DON CAFE,CAFE,PERU 154,Monserrat,Comuna 1
724,DON CARLOS,,BILLINGHURST 450,Almagro,Comuna 5
725,DON CARLOS,BAR,DE LOS CONSTITUYENTES AV. 6253,Villa Urquiza,Comuna 12
726,DON GALINDEZ,RESTAURANTE,LAVALLE 798,San Nicolas,Comuna 1
727,DON GAUNA,RESTAURANTE,GAONA AV. 1537,Caballito,Comuna 6
728,DON GENNARO,RESTAURANTE,DARWIN 40,Villa Crespo,Comuna 15
729,DON GOLO,RESTAURANTE,MOSCONI GENERAL AV. 3037,Villa Pueyrredon,Comuna 12
730,DON GOMEZ,RESTAURANTE,SOLER 5644,Palermo,Comuna 14
731,DON IGNACIO,RESTAURANTE,OLLEROS AV. 1879,Palermo,Comuna 14
732,DON ISIDRO,RESTAURANTE,BONPLAND 1905,Palermo,Comuna 14
733,DON JULIO,RESTAURANTE,GUATEMALA 4699,Palermo,Comuna 14
734,DON LECHON,RESTAURANTE,ELCANO AV. 3607,Villa Ortuzar,Comuna 15
735,DON LUIS,RESTAURANTE,SARMIENTO 682,San Nicolas,Comuna 1
736,DON OGARDI,RESTAURANTE,MEXICO 1176,Monserrat,Comuna 1
737,DON PAQUITO,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 6429",Mataderos,Comuna 9
738,DON`T TELL MAMA,RESTAURANTE,PARAGUAY 5700,Palermo,Comuna 14
739,DON VICENTE,,"ACUÃƒâ€˜A DE FIGUEROA, FRANCISCO 300",Almagro,Comuna 5
740,DON ZENON,RESTAURANTE,"DRAGO, LUIS MARIA 99",Villa Crespo,Comuna 15
741,DON ZOILO,RESTAURANTE,"PUEYRREDON, HONORIO, DR. AV. 1414",Villa Crespo,Comuna 15
742,DOORS,RESTAURANTE,TUCUMAN 1702,San Nicolas,Comuna 1
743,DOOTS,RESTAURANTE,PUEYRREDON AV. 1501,Recoleta,Comuna 2
744,DORA,RESTAURANTE,"ALEM, LEANDRO N. AV. 1016",Retiro,Comuna 1
745,DOS DE ORO,BAR,MORENO 1201,Monserrat,Comuna 1
746,DOSHI,RESTAURANTE,FITZ ROY 1613,Palermo,Comuna 14
747,DOS MUNDOS,RESTAURANTE,INDEPENDENCIA AV. 3601,Almagro,Comuna 5
748,DOS REYES BAR,RESTAURANTE,DEL LIBERTADOR AV. 4986,Palermo,Comuna 14
749,DOWN TOWN MATIAS,PUB,RECONQUISTA 701,San Nicolas,Comuna 1
750,DRAGON PORTEÃƒâ€˜O,RESTAURANTE,ARRIBEÃƒâ€˜OS 2137,Belgrano,Comuna 13
751,DRAGON & SWORD,,HONDURAS 5514,Palermo,Comuna 14
752,DR. GUEVARA,RESTAURANTE,BALCARCE 711,San Telmo,Comuna 1
753,DRINK STOP,RESTAURANTE,URUGUAY 1014,Recoleta,Comuna 2
754,DRUID IN,RESTAURANTE,RECONQUISTA 1040,Retiro,Comuna 1
755,DUBILNERS,RESTAURANTE,HUMBOLDT 1946,Palermo,Comuna 14
756,DUERO,RESTAURANTE,SANTA FE AV. 2499,Recoleta,Comuna 2
757,DUICINED,PUB,SANTA FE AV. 4130,Palermo,Comuna 14
758,DUO,RESTAURANTE,GAONA AV. 2500,Flores,Comuna 7
759,D' VITTORIO,PUB,LAVALLE 1669,San Nicolas,Comuna 1
760,EA,BAR,PARAGUAY 5302,Palermo,Comuna 14
761,E & E,RESTAURANTE,CASEROS AV. 2194,Parque Patricios,Comuna 4
762,EFE 1,BAR,SOLER 5601,Palermo,Comuna 14
763,EH! SANTINO,RESTAURANTE,BAEZ 196,Palermo,Comuna 14
764,EIFFEL,BAR,"ALEM, LEANDRO N. AV. 674",San Nicolas,Comuna 1
765,EL 602,BAR,BELGRANO AV. 602,Monserrat,Comuna 1
766,EL ALBA,RESTAURANTE,"CHUTRO, PEDRO, Prof., Dr. 3300",Parque Patricios,Comuna 4
767,EL ALBA,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 1319",San Nicolas,Comuna 1
768,EL ALFARERO,RESTAURANTE,REPUBLICA BOLIVARIANA DE VENEZUELA 1215,Monserrat,Comuna 1
769,EL ALGIBE,RESTAURANTE,SAN MARTIN 1225,Retiro,Comuna 1
770,EL AMADOR,RESTAURANTE,REPUBLICA BOLIVARIANA DE VENEZUELA 101,Monserrat,Comuna 1
771,EL AMANECER DE CARLITOS,RESTAURANTE,DEL LIBERTADOR AV. 6172,Belgrano,Comuna 13
772,EL ANCLA DEL ORO,BAR,"MITRE, BARTOLOME 863",San Nicolas,Comuna 1
773,EL ANDEN,RESTAURANTE,CHILE 467,Monserrat,Comuna 1
774,EL ANDEN,RESTAURANTE,CHILE 467,Monserrat,Comuna 1
775,EL ARBOLITO,RESTAURANTE,TRIUNVIRATO AV. 3302,Villa Ortuzar,Comuna 15
776,EL ARGENTINO,BAR,MAIPU 761,San Nicolas,Comuna 1
777,EL ARRIERO,RESTAURANTE,LUGONES 2506,Villa Urquiza,Comuna 12
778,EL ASADOR,RESTAURANTE,CORDOBA AV. 2475,Recoleta,Comuna 2
779,EL BAGUAL,RESTAURANTE,ORTEGA Y GASSET 1777,Palermo,Comuna 14
780,EL BALON,BAR,ESTADO PLURINACIONAL DE BOLIVIA 1107,Villa Gral. Mitre,Comuna 11
781,EL BAR,CONFITERIA,"MITRE, BARTOLOME 2502",Balvanera,Comuna 3
782,EL BAR,RESTAURANTE,"SAENZ PEÃƒâ€˜A, LUIS, PRES. 193",Monserrat,Comuna 1
783,EL BARCITO,RESTAURANTE,BRASIL 3195,Parque Patricios,Comuna 4
784,EL BAR.COM,BAR,SARMIENTO 2015,Balvanera,Comuna 3
785,EL BAR DE ALLENDE,RESTAURANTE,"BEIRO, FRANCISCO AV. 4699",Villa Devoto,Comuna 11
786,EL BAR DE BICHI Y KUKI,CAFE,AVELLANEDA AV. 2300,Flores,Comuna 7
787,EL BAR DE LA ESQUINA,RESTAURANTE,MEXICO 536,Monserrat,Comuna 1
788,EL BAR DE YANI,BAR,SANCHEZ DE LORIA 802,Balvanera,Comuna 3
789,EL BODEGON,RESTAURANTE,BALCARCE 378,Monserrat,Comuna 1
790,EL BOLICHE,BAR,"VALLE, ARISTOBULO DEL 610",Boca,Comuna 4
791,EL BOLICHE DE MANDO,RESTAURANTE,"BALBIN, RICARDO, DR. AV. 4881",Saavedra,Comuna 12
792,EL BOMBON,RESTAURANTE,"GOYENA, PEDRO AV. 627",Caballito,Comuna 6
793,EL BRETON FENIX,RESTAURANTE,RIVADAVIA AV. 7800,Floresta,Comuna 10
794,EL BUEN GOURMET,RESTAURANTE,CHARCAS 4063,Palermo,Comuna 14
795,EL BUEN GUSTO,RESTAURANTE,"PERON, EVA AV. 5587",Mataderos,Comuna 9
796,EL BURGUER MIX,RESTAURANTE,"MONTES DE OCA, MANUEL 1336",Barracas,Comuna 4
797,EL CABALLITO,RESTAURANTE,LAS HERAS GENERAL AV. 2995,Palermo,Comuna 14
798,EL CAFE DE ARENALES,RESTAURANTE,ARENALES 3102,Recoleta,Comuna 2
799,EL CAFE DE CABALLITO,CAFE,RIVADAVIA AV. 5108,Caballito,Comuna 6
800,EL CAFE DE LA ESQUINA,CAFE,CHICLANA AV. 2920,Parque Patricios,Comuna 4
801,EL CAFE DEL VIDEO,CONFITERIA,ALVAREZ JONTE AV. 6199,Versalles,Comuna 10
802,EL CANO GRILL,RESTAURANTE,ELCANO AV. 3430,Colegiales,Comuna 13
803,EL CARACOL,RESTAURANTE,BOLIVAR 1101,San Telmo,Comuna 1
804,EL CEDRON,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 6101",Mataderos,Comuna 9
805,EL CEIBAL,RESTAURANTE,GUEMES 3402,Palermo,Comuna 14
806,EL CENADO,CAFE,VEDIA 1901,NuÃƒÂ±ez,Comuna 13
807,EL CENTINELA,RESTAURANTE,MORENO 1594,Monserrat,Comuna 1
808,EL CERRITO,RESTAURANTE,CERRITO 222,San Nicolas,Comuna 1
809,EL CHAMUYO,RESTAURANTE,"BELAUSTEGUI, LUIS, Dr. 3202",Villa Santa Rita,Comuna 11
810,EL CHAVAL,RESTAURANTE,RIVADAVIA AV. 8327,Floresta,Comuna 10
811,EL CHICHE,RESTAURANTE,CORRIENTES AV. 4642,Almagro,Comuna 5
812,EL CLAUSTRO SANTA CATALINA RESTAURA,RESTAURANTE,SAN MARTIN 705,San Nicolas,Comuna 1
813,EL CLAVEL,CAFE,CORRIENTES AV. 2311,Balvanera,Comuna 3
814,EL CLAVEL,CAFE,RIVADAVIA AV. 6766,Flores,Comuna 7
815,EL CLAVEL DE EGIPTO,RESTAURANTE,CORRIENTES AV. 965,San Nicolas,Comuna 1
816,EL CLAVEL DE SUAREZ,RESTAURANTE,CORRIENTES AV. 702,San Nicolas,Comuna 1
817,EL CLAVO DE ORO,RESTAURANTE,LOPE DE VEGA AV. 1501,Monte Castro,Comuna 10
818,EL CLON,RESTAURANTE,ALVAREZ JONTE AV. 5164,Monte Castro,Comuna 10
819,EL COCOROCO,RESTAURANTE,AMENABAR 2415,Belgrano,Comuna 13
820,EL COLECCIONISTA,CAFE,RIVADAVIA AV. 4929,Caballito,Comuna 6
821,EL CORDOBES,RESTAURANTE,RIO CUARTO 1308,Barracas,Comuna 4
822,EL CORSARIO,BAR,DON PEDRO DE MENDOZA AV. 1987,Boca,Comuna 4
823,EL CRACK,RESTAURANTE,VIAMONTE 1379,San Nicolas,Comuna 1
824,EL CREADOR,RESTAURANTE,"GOYENA, PEDRO AV. 99",Caballito,Comuna 6
825,EL CRIOLLITO,RESTAURANTE,DE LOS CORRALES AV. 6575,Mataderos,Comuna 9
826,EL CUARTITO,RESTAURANTE,TALCAHUANO 937,Retiro,Comuna 1
827,EL DEPO,BAR,PAVON 1201,Constitucion,Comuna 1
828,EL DESTINO,RESTAURANTE,DIAZ VELEZ AV. 5568,Caballito,Comuna 6
829,EL DORADO,RESTAURANTE,CORDOBA AV. 622,San Nicolas,Comuna 1
830,EL DORADO,RESTAURANTE,"ALVEAR, MARCELO T. De 1600",Recoleta,Comuna 2
831,EL DUENDE,RESTAURANTE,SAN JOSE 93,Monserrat,Comuna 1
832,EL DUENDE BAR,BAR,CHILE 495,Monserrat,Comuna 1
833,EL EDEN,PUB,SAN MARTIN AV. 6896,Villa Devoto,Comuna 11
834,EL EDEN,PUB,ALVAREZ THOMAS AV. 2163,Villa Ortuzar,Comuna 15
835,EL ENCANTO,RESTAURANTE,BONPLAND 1642,Palermo,Comuna 14
836,EL ENCUENTRO,,"DE LA TORRE, LISANDRO AV. 2375",Mataderos,Comuna 9
837,EL ENCUENTRO,RESTAURANTE,"MITRE, BARTOLOME 2202",Balvanera,Comuna 3
838,EL ENCUENTRO,RESTAURANTE,"YRIGOYEN, HIPOLITO 3002",Balvanera,Comuna 3
839,EL ENCUENTRO,RESTAURANTE,"CALVO, CARLOS 400",San Telmo,Comuna 1
840,EL ENDIABLADO,RESTAURANTE,FRAY JUSTO SANTAMARIA DE ORO 2517,Palermo,Comuna 14
841,EL ESCORIAL,BAR,LIMA 215,Monserrat,Comuna 1
842,EL ESCORIAL,CAFE,"CHILAVERT, MARTINIANO, CORONEL 6287",Villa Riachuelo,Comuna 8
843,EL ESPAÃƒâ€˜OL,RESTAURANTE,RINCON 196,Balvanera,Comuna 3
844,EL ESTANCIERO,RESTAURANTE,BAEZ 202,Palermo,Comuna 14
845,EL ESTAÃƒâ€˜O,BAR,"VALLE, ARISTOBULO DEL 1100",Boca,Comuna 4
846,EL EVENTO,RESTAURANTE,VIAMONTE 1380,San Nicolas,Comuna 1
847,EL FARO,RESTAURANTE,CORRIENTES AV. 1392,San Nicolas,Comuna 1
848,EL FAROL,RESTAURANTE,ROCAMORA 4599,Almagro,Comuna 5
849,EL FEDERAL,BAR,"CALVO, CARLOS 599",San Telmo,Comuna 1
850,EL FEDERAL,RESTAURANTE,HONDURAS 5254,Palermo,Comuna 14
851,EL FEDERAL. PULPERIA,RESTAURANTE,SERRANO 1507,Palermo,Comuna 14
852,EL FIGON DE BONILLA,RESTAURANTE,"ALEM, LEANDRO N. AV. 673",San Nicolas,Comuna 1
853,EL FOGON,RESTAURANTE,JUNCAL 4602,Palermo,Comuna 14
854,EL FORTIN,RESTAURANTE,LOPE DE VEGA AV. y ALVAREZ JONTE AV.,Monte Castro,Comuna 10
855,EL FORTIN,RESTAURANTE,CABILDO AV. 4702,Saavedra,Comuna 12
856,EL FRESNO,RESTAURANTE,"MITRE, BARTOLOME 2539",Balvanera,Comuna 3
857,EL GALEANO,BAR,"ALVEAR, MARCELO T. De 2101",Recoleta,Comuna 2
858,EL GALEON,RESTAURANTE,SANTA FE AV. 4002,Palermo,Comuna 14
859,EL GALLO,BAR,RIVADAVIA AV. 1345,San Nicolas,Comuna 1
860,EL GALPON,RESTAURANTE,URUGUAY 1078,Recoleta,Comuna 2
861,EL GARFIO,CAFE,DIRECTORIO AV. 2699,Flores,Comuna 7
862,EL GATO,RESTAURANTE,HUMBOLDT 17,Villa Crespo,Comuna 15
863,EL GATO NEGRO,BAR,CORRIENTES AV. 1669,San Nicolas,Comuna 1
864,EL GAUCHITO GIL,RESTAURANTE,SALTA 1567,Constitucion,Comuna 1
865,EL GLOBITO,CAFE,CASEROS AV. 3015,Parque Patricios,Comuna 4
866,EL GLOBO,RESTAURANTE,"YRIGOYEN, HIPOLITO 1199",Monserrat,Comuna 1
867,EL GORRITI RESTAURANT,RESTAURANTE,GORRITI 3780,Palermo,Comuna 14
868,EL GOSTARAZO II,RESTAURANTE,SAN PEDRITO AV. 250,Flores,Comuna 7
869,EL GRADUADO,CAFE,CALLAO AV. 498,Balvanera,Comuna 3
870,EL GRADUADO,BAR,PARAGUAY 2038,Recoleta,Comuna 2
871,EL GRAN ESPAÃƒâ€˜OL,RESTAURANTE,LA RIOJA 2161,Parque Patricios,Comuna 4
872,EL GRAN PODER RESTAURANT,RESTAURANTE,"PAZ, GRAL. AV. 10766",Liniers,Comuna 9
873,EL GRIEGO,PUB,"BEIRO, FRANCISCO AV. 5293",Villa Devoto,Comuna 11
874,EL GRILL,PUB,MOSCONI GENERAL AV. 2502,Villa Pueyrredon,Comuna 12
875,EL GUARANI,RESTAURANTE,PUEYRREDON AV. 1106,Recoleta,Comuna 2
876,EL HALCON,RESTAURANTE,RIVADAVIA AV. 8451,Floresta,Comuna 10
877,EL HIPOPOTAMO,BAR,BRASIL 401,San Telmo,Comuna 1
878,EL HURACAN,RESTAURANTE,CASEROS AV. 2807,Parque Patricios,Comuna 4
879,ELIEL,RESTAURANTE,LARREA 1541,Recoleta,Comuna 2
880,EL IMPARCIAL,RESTAURANTE,"YRIGOYEN, HIPOLITO 1201",Monserrat,Comuna 1
881,EL IMPERIAL,RESTAURANTE,BERMUDEZ 3198,Villa Devoto,Comuna 11
882,EL IMPERIO DE LA PIZZA,RESTAURANTE,CORRIENTES AV. 6891,Chacarita,Comuna 15
883,EL JARDIN,RESTAURANTE,RIVADAVIA AV. 715,San Nicolas,Comuna 1
884,EL KOZAKO,RESTAURANTE,JUNIN 1460,Recoleta,Comuna 2
885,EL LAZO,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 334",Caballito,Comuna 6
886,EL LITORAL,CAFE,PASCO 2200,Parque Patricios,Comuna 4
887,EL MADROÃƒâ€˜O,RESTAURANTE,CABILDO AV. 3874,Saavedra,Comuna 12
888,EL MALECON,RESTAURANTE,AVELLANEDA AV. 3901,Floresta,Comuna 10
889,EL MANTO,RESTAURANTE,COSTA RICA 5801,Palermo,Comuna 14
890,EL MERCADO,RESTAURANTE,SALOTTI MARTHA 445,Puerto Madero,Comuna 1
891,EL MESON DE DON ENRIQUE,RESTAURANTE,BELGRANO AV. 1696,Monserrat,Comuna 1
892,EL METRO,RESTAURANTE,LA PLATA AV. 1385,Parque Chacabuco,Comuna 7
893,EL METRO,RESTAURANTE,LA PLATA AV. 1385,Parque Chacabuco,Comuna 7
894,EL MIRASOL DE PUERTO MADERO,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 202",Puerto Madero,Comuna 1
895,EL MOSQUITO,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 4499",Almagro,Comuna 5
896,EL MOTIVO,RESTAURANTE,SAN MARTIN AV. 3305,Paternal,Comuna 15
897,EL MUELLE,PUB,"ALEM, LEANDRO N. AV. 1024",Retiro,Comuna 1
898,EL MURAL,RESTAURANTE,MOSCONI GENERAL AV. 2433,Villa Pueyrredon,Comuna 12
899,EL MYSTICO,RESTAURANTE,GORRITI 5902,Palermo,Comuna 14
900,EL NACIONAL,RESTAURANTE,SUIPACHA 201,San Nicolas,Comuna 1
901,EL NACIONAL,RESTAURANTE,ESTADOS UNIDOS 302,San Telmo,Comuna 1
902,EL NAVEGANTE,RESTAURANTE,VIAMONTE 154,San Nicolas,Comuna 1
903,EL NIDO,RESTAURANTE,BELGRANO AV. 126,Monserrat,Comuna 1
904,EL NIÃƒâ€˜O JULIO,RESTAURANTE,MONROE 2701,Belgrano,Comuna 13
905,EL NORTE,RESTAURANTE,"URIBURU JOSE E., Pres. 1680",Recoleta,Comuna 2
906,EL NOVILLO ALEGRE,RESTAURANTE,GOROSTIAGA 1833,Palermo,Comuna 14
907,EL NUEVO HENRY BAR,CAFE,VIAMONTE 1301,San Nicolas,Comuna 1
908,EL NUEVO MILENIO,BAR,"VILLAFAÃƒâ€˜E, WENCESLAO 412",Boca,Comuna 4
909,EL NUEVO NICO,CAFE,RIVADAVIA AV. 2714,Balvanera,Comuna 3
910,EL NUEVO PUENTE,RESTAURANTE,BELGRANO AV. 233,Monserrat,Comuna 1
911,EL NUEVO REFUGIO,RESTAURANTE,CASEROS AV. 2700,Parque Patricios,Comuna 4
912,EL NUEVO RINCON,,INDEPENDENCIA AV. 2088,San Cristobal,Comuna 3
913,EL OASIS,RESTAURANTE,SAN JUAN AV. 600,San Telmo,Comuna 1
914,EL OBRERO,RESTAURANTE,"CAFFARENA, AGUSTIN R. 64",Boca,Comuna 4
915,EL OLMO,RESTAURANTE,SANTA FE AV. 2502,Recoleta,Comuna 2
916,EL OMBU,RESTAURANTE,SARMIENTO 775,San Nicolas,Comuna 1
917,EL OMBU,,VARELA AV. 1296,Flores,Comuna 7
918,EL OMBU,RESTAURANTE,"ALVAREZ, DONATO, Tte. Gral. 1096",Flores,Comuna 7
919,EL OMBU PARRILLA BAR,RESTAURANTE,PATAGONES 2976,Parque Patricios,Comuna 4
920,EL PALACIO DE LA PAPA FRITA,RESTAURANTE,CORRIENTES AV. 1612,San Nicolas,Comuna 1
921,EL PALACIO DE LA PAPA FRITA,RESTAURANTE,LAVALLE 735,San Nicolas,Comuna 1
922,EL PALACIO DE LA PAPA FRITA,RESTAURANTE,LAVALLE 954,San Nicolas,Comuna 1
923,EL PALACIO DE LA PIZZA,RESTAURANTE,CORRIENTES AV. 751,San Nicolas,Comuna 1
924,EL PALACIO DEL SANDWICH,RESTAURANTE,AZCUENAGA 270,Balvanera,Comuna 3
925,EL PALACIO I,,RIVADAVIA AV. 4994,Caballito,Comuna 6
926,EL PAMPA,BAR,"MONTES DE OCA, MANUEL 1051",Barracas,Comuna 4
927,EL PAPILLON,CONFITERIA,SUIPACHA 202,San Nicolas,Comuna 1
928,EL PARQUE,CONFITERIA,CASEROS AV. 3001,Parque Patricios,Comuna 4
929,EL PARRILLON DE RECOLETA,RESTAURANTE,DEL LIBERTADOR AV. 3880,Palermo,Comuna 14
930,EL PASEO,PUB,"RAMOS MEJIA, JOSE MARIA, DR. AV. 1634",Retiro,Comuna 1
931,EL PASEO CAE,CAFE,CERRITO 1070,Retiro,Comuna 1
932,EL PATIO,CONFITERIA,RECONQUISTA 269,San Nicolas,Comuna 1
933,EL PATIO DE SAN TELMO,RESTAURANTE,PIEDRAS 1316,San Telmo,Comuna 1
934,EL PATO,BAR,GONCALVES DIAS 885,Barracas,Comuna 4
935,EL PATO DE SAN RAMON,RESTAURANTE,RECONQUISTA 269,San Nicolas,Comuna 1
936,EL PENSADOR,RESTAURANTE,PARAGUAY 4495,Palermo,Comuna 14
937,EL PERRO ANDALUZ,RESTAURANTE,DEFENSA 1066,San Telmo,Comuna 1
938,EL PETOLO,RESTAURANTE,CORRIENTES AV. 485,San Nicolas,Comuna 1
939,EL PINDAL,RESTAURANTE,MONROE 5100,Villa Urquiza,Comuna 12
940,EL PINGÃƒÅ“INO,,GAONA AV. 3302,Flores,Comuna 7
941,EL PINGÃƒÅ“INO DE PALERMO,RESTAURANTE,PARAGUAY 4496,Palermo,Comuna 14
942,EL PIRINGUNDIN,RESTAURANTE,CHILE AV. 355,Monserrat,Comuna 1
943,EL PLATO VOLADOR,RESTAURANTE,ALVAREZ JONTE AV. 4100,Monte Castro,Comuna 10
944,EL POLLO RICARDO,,HUALFIN 1100,Caballito,Comuna 6
945,EL PONCHO,RESTAURANTE,"URIBURU JOSE E., Pres. 215",Balvanera,Comuna 3
946,EL POPULAR,RESTAURANTE,"LACROZE, FEDERICO AV. 3800",Chacarita,Comuna 15
947,EL PORTAL,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 681",San Nicolas,Comuna 1
948,EL PORTEÃƒâ€˜O,RESTAURANTE,"CHILAVERT, MARTINIANO, CORONEL 6693",Villa Riachuelo,Comuna 8
949,EL PORTON,BAR,CHILE AV. 362,San Telmo,Comuna 1
950,EL PORTUGUES,RESTAURANTE,BAEZ 499,Palermo,Comuna 14
951,EL PREFERIDO DE PALERMO,RESTAURANTE,"BORGES, JORGE LUIS 2108",Palermo,Comuna 14
952,EL PROGRESO,BAR,"MONTES DE OCA, MANUEL 1702",Barracas,Comuna 4
953,EL PUENTECITO,BAR,LUJAN 2101,Barracas,Comuna 4
954,EL PUERTO DE ARIEL,RESTAURANTE,"BROWN, ALTE. AV. 1061",Boca,Comuna 4
955,EL PURGATORIO,RESTAURANTE,"BORGES, JORGE LUIS 1766",Palermo,Comuna 14
956,EL QUEBRACHO,BAR,"GARAY, JUAN DE AV. 601",San Telmo,Comuna 1
957,EL QUEQUE,RESTAURANTE,VIEYTES 1184,Barracas,Comuna 4
958,EL QUERANDI,RESTAURANTE,PERU 302,Monserrat,Comuna 1
959,EL QUIJOTE,RESTAURANTE,BRASIL 1499,Constitucion,Comuna 1
960,EL RAGU. PARRILLA AL PASO,RESTAURANTE,VIAMONTE 948,San Nicolas,Comuna 1
961,EL RAPIDO,RESTAURANTE,GODOY CRUZ 2623,Palermo,Comuna 14
962,EL RAYO,,DARWIN 14,Villa Crespo,Comuna 15
963,EL REBUSQUE,RESTAURANTE,JUNIN 387,Balvanera,Comuna 3
964,EL RECOLETO,RESTAURANTE,RECONQUISTA 602,San Nicolas,Comuna 1
965,EL RECORD,CONFITERIA,PIEDRAS 1098,San Telmo,Comuna 1
966,EL RECREO,CONFITERIA,"CALVO, CARLOS 599",San Telmo,Comuna 1
967,EL REFUGIO DEL ARLEQUIN,RESTAURANTE,DEFENSA 705,San Telmo,Comuna 1
968,EL REMANSO,RESTAURANTE,PI Y MARGALL 1300,Barracas,Comuna 4
969,EL RENACER DE ARTURITO,RESTAURANTE,"PERON, EVA AV. 7201",Mataderos,Comuna 9
970,EL RESCATE DE DORYA,RESTAURANTE,BONPLAND 1762,Palermo,Comuna 14
971,EL RESORTE,CAFE,VIAMONTE 1499,San Nicolas,Comuna 1
972,EL RETORNO,CAFE,"ALEM, LEANDRO N. AV. 564",San Nicolas,Comuna 1
973,EL REY DEL VINO,RESTAURANTE,PARAGUAY 5001,Palermo,Comuna 14
974,EL RINCON,RESTAURANTE,SALTA 495,Monserrat,Comuna 1
975,EL RINCONCITO,RESTAURANTE,"GOYENA, PEDRO AV. 296",Caballito,Comuna 6
976,EL RINCON DE ANTONIO,RESTAURANTE,MOSCONI GENERAL AV. 2778,Villa Pueyrredon,Comuna 12
977,EL RINCON DE HUGO,RESTAURANTE,"PERON, EVA AV. 2100",Parque Chacabuco,Comuna 7
978,EL RINCON DE MARCOS,CAFE,"PERON, EVA AV. 4008",Parque Avellaneda,Comuna 9
979,EL RONCAL,RESTAURANTE,25 DE MAYO 688,San Nicolas,Comuna 1
980,EL RONCAL,RESTAURANTE,"PELLEGRINI, CARLOS 163",San Nicolas,Comuna 1
981,EL RONCAL,RESTAURANTE,RECONQUISTA 584,San Nicolas,Comuna 1
982,EL SALMON DOS,CAFE,RECONQUISTA 1014,Retiro,Comuna 1
983,EL SANJUANINO,RESTAURANTE,SANCHEZ DE BUSTAMANTE 1788,Recoleta,Comuna 2
984,EL SITIO,RESTAURANTE,DE MAYO AV. 1354,Monserrat,Comuna 1
985,EL SITIO Y COMA...,RESTAURANTE,"BEIRO, FRANCISCO AV. 4445",Villa Devoto,Comuna 11
986,EL SOL,RESTAURANTE,MEDRANO AV. 99,Almagro,Comuna 5
987,EL SOL,RESTAURANTE,"CABRERA, JOSE A. 6099",Palermo,Comuna 14
988,EL SOLAR,RESTAURANTE,VIAMONTE 1452,San Nicolas,Comuna 1
989,EL SOLAR,RESTAURANTE,DIRECTORIO AV. 471,Caballito,Comuna 6
990,EL SOSIEGO,RESTAURANTE,PARAGUAY 1524,Recoleta,Comuna 2
991,EL SULKY,RESTAURANTE,VIEL 712,Caballito,Comuna 6
992,EL SURTIDOR,RESTAURANTE,"ACEVEDO, EDUARDO 373",Caballito,Comuna 6
993,EL TALLER,RESTAURANTE,SERRANO 1595,Palermo,Comuna 14
994,EL TEATRO,BAR,CORDOBA AV. 1225,Retiro,Comuna 1
995,EL TELE,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 1307",San Nicolas,Comuna 1
996,EL TIMON,RESTAURANTE,DORREGO 1649,Palermo,Comuna 14
997,EL TORITO,CAFE,BRUIX AV. 4797,Parque Avellaneda,Comuna 9
998,EL TOSTADERO,RESTAURANTE,TUCUMAN 1349,San Nicolas,Comuna 1
999,EL TRACTOR,,CORDOBA AV. 5302,Villa Crespo,Comuna 15
1000,EL TRAPICHE,RESTAURANTE,PARAGUAY 1500,Recoleta,Comuna 2
1001,EL TREBOL,CAFE,LIMA 317,Monserrat,Comuna 1
1002,EL TREBOL,RESTAURANTE,SANTA FE AV. 2198,Recoleta,Comuna 2
1003,EL TRIDENTE,BAR,RIVADAVIA AV. 1201,San Nicolas,Comuna 1
1004,EL VALENCIANO,RESTAURANTE,MORON 2999,Flores,Comuna 7
1005,EL VASQUITO,RESTAURANTE,LOPE DE VEGA AV. 1912,Monte Castro,Comuna 10
1006,EL VERDE,BAR,RECONQUISTA 878,Retiro,Comuna 1
1007,EL VESUBIO,BAR,CORRIENTES AV. 1181,San Nicolas,Comuna 1
1008,EL VIEJO ALMACEN,RESTAURANTE,INDEPENDENCIA AV. 299,San Telmo,Comuna 1
1009,EL VIEJO ALMAFUERTE,CAFE,MEXICO 399,Monserrat,Comuna 1
1010,EL VIEJO CAFE,RESTAURANTE,JUJUY AV. 108,Balvanera,Comuna 3
1011,EL VIEJO JOSE MARTIN,RESTAURANTE,CORDOBA AV. 2312,Balvanera,Comuna 3
1012,EL VIVERO CAFE,RESTAURANTE,MONROE 3701,Coghlan,Comuna 12
1013,ELVO,RESTAURANTE,ENTRE RIOS AV. 340,Monserrat,Comuna 1
1014,EL WOK,,MONROE 5447,Villa Urquiza,Comuna 12
1015,EMBRUJO,RESTAURANTE,GORRITI 5612,Palermo,Comuna 14
1016,EMBRUJO RESTO,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 176",Puerto Madero,Comuna 1
1017,EMBRUJO RESTO,RESTAURANTE,CORDOBA AV. 1344,San Nicolas,Comuna 1
