,nombre,categoria,direccion_completa,barrio,comuna
1905,MEETING PLACE,CONFITERIA,LAVALLE 1661,San Nicolas,Comuna 1
1906,MEGA CAFE,CAFE,TUCUMAN 2499,Balvanera,Comuna 3
1907,MEGAFON,RESTAURANTE,CHACABUCO 1072,San Telmo,Comuna 1
1908,MEI - SHI,CAFE,CORRIENTES AV. 4328,Almagro,Comuna 5
1909,ME LEVA BRASIL,CAFE,COSTA RICA 4488,Palermo,Comuna 14
1910,MELIAN,CONFITERIA,LAVALLE 529,San Nicolas,Comuna 1
1911,MELO,CAFE,"PACHECO DE MELO, JOSE ANDRES 1829",Recoleta,Comuna 2
1912,MELODY CAFE,CAFE,URUGUAY 1398,Recoleta,Comuna 2
1913,MEMORIAS,CAFE,"PERON, JUAN DOMINGO, TTE. GENERAL 1699",San Nicolas,Comuna 1
1914,MENOS DIEZ,CAFE,MAIPU 530,San Nicolas,Comuna 1
1915,MERCANTE,RESTAURANTE,"ALEM, LEANDRO N. AV. 420",San Nicolas,Comuna 1
1916,MERIDIANO 58,,"BORGES, JORGE LUIS 1689",Palermo,Comuna 14
1917,MERLIN,CAFE,LARREA 214,Balvanera,Comuna 3
1918,MESON NAVARRO,RESTAURANTE,LAVALLE 168,San Nicolas,Comuna 1
1919,METAMORFOSIS,SANDWICHERIA,BONPLAND 1643,Palermo,Comuna 14
1920,METROPOL,RESTAURANTE,LAVALLE 1898,Balvanera,Comuna 3
1921,MEXICO,RESTAURANTE,LA PLATA AV. 502,Almagro,Comuna 5
1922,MI BAR,RESTAURANTE,PASCO 296,Balvanera,Comuna 3
1923,MI CASAL,RESTAURANTE,CALLAO AV. 410,Balvanera,Comuna 3
1924,MI CONSUELO,RESTAURANTE,MONROE 1420,Belgrano,Comuna 13
1925,MIDI,RESTAURANTE,RECONQUISTA 542,San Nicolas,Comuna 1
1926,MIGUELO,RESTAURANTE,JUNCAL 2614,Recoleta,Comuna 2
1927,MIKEL,RESTAURANTE,RIVADAVIA AV. 3602,Almagro,Comuna 5
1928,MILANESA RICA,RESTAURANTE,RIVADAVIA AV. 1771,San Nicolas,Comuna 1
1929,Milanga - Villa PueyrredÃƒÂ³n,BAR,MOSCONI GENERAL AV. 2702,Villa Pueyrredon,Comuna 12
1930,Milanga - Villa Urquiza,BAR,OLAZABAL AV. 4500,Villa Urquiza,Comuna 12
1931,MIL DOS,RESTAURANTE,SOLDADO DE LA INDEPENDENCIA 1002,Palermo,Comuna 14
1932,MILENIO,CAFE,QUESADA 3085,NuÃƒÂ±ez,Comuna 13
1933,MILENIUM PAB,RESTAURANTE,AYACUCHO 442,Balvanera,Comuna 3
1934,MILEU,PUB,BRAGADO 6118,Mataderos,Comuna 9
1935,MILLION,RESTAURANTE,PARANA 1048,Recoleta,Comuna 2
1936,MI MATUTE,,CIUDAD DE LA PAZ 1199,Colegiales,Comuna 13
1937,MINI BAR,RESTAURANTE,"SALGUERO, JERONIMO 1935",Palermo,Comuna 14
1938,MIRAFLORES,CAFE,"CEVALLOS, Virrey 1695",Constitucion,Comuna 1
1939,MIRAMAR,CAFE,"ALBERDI, JUAN BAUTISTA AV. 1302",Caballito,Comuna 6
1940,Mirasol de La Recova,RESTAURANTE,POSADAS 1032,Retiro,Comuna 1
